Person,Age,Gender,,HSP_EoE,HSP_AS,HSP_LST
p1,24,Male,,53,21,15
p2,23,Male,,39,23,21
p3,20,Male,,39,27,15
p4,20,Male,,29,27,8
p5,23,Male,,46,25,10
p6,20,Male,,38,24,19
p7,23,Male,,35,28,11
p8,22,Male,,47,28,12
p9,23,Male,,36,34,13
p10,25,Male,,29,25,28
p11,23,Male,,36,20,12
p12,22,Female,,59,20,20
p13,25,Male,,32,29,12
p14,23,Male,,46,25,17
p15,27,Male,,40,32,13
p16,29,Female,,40,27,15
p17,22,Male,,43,19,13
p18,20,Male,,53,33,12
p19,19,Male,,44,27,17
p20,26,Male,,46,31,27
p21,19,Male,,40,27,17
p22,19,Male,,40,24,13
p23,19,Male,,42,26,11
p24,19,Male,,41,31,11
p25,19,Male,,42,21,6
p26,19,Female,,54,23,21
p27,19,Female,,39,22,7
p28,18,Male,,50,26,13
p29,19,Male,,46,28,18
p30,21,Male,,53,21,13
p31,20,Male,,49,26,18
p32,19,Male,,41,25,16
p33,19,Male,,55,23,17
p34,22,Male,,49,26,18
p35,22,Male,,38,17,19
p36,29,Female,,43,27,18
p37,20,Male,,54,29,14
p38,19,Male,,53,34,19
p39,20,Male,,39,26,12
p40,26,Male,,49,24,11
p41,27,Male,,37,29,10
p42,19,Male,,29,11,15
p43,22,Male,,54,27,21
p44,21,Male,,53,25,21
p45,19,Male,,61,24,21
p46,23,Male,,48,26,20
p47,19,Male,,57,28,17
p48,23,Male,,47,23,11
p49,21,Male,,49,26,19
p50,19,Female,,63,30,14
p51,29,Female,,54,16,7
p52,22,Female,,43,24,6
p53,22,Male,,53,27,20
p54,19,Male,,43,17,7
p55,19,Male,,57,28,18
p56,21,Female,,53,30,22
p57,22,Male,,58,29,22
p58,21,Male,,39,32,6
p59,19,Male,,42,22,24
p60,19,Male,,41,26,21
p61,19,Male,,50,29,18
p62,21,Male,,43,26,16
p63,18,Male,,39,29,6
p64,24,Male,,49,28,17
p65,19,Male,,45,24,19
p66,20,Male,,59,25,16
p67,19,Male,,50,17,15
p68,18,Male,,38,24,12
p69,20,Male,,40,25,16
p70,23,Male,,28,27,15
p71,20,Male,,56,24,21
p72,23,Male,,70,15,24
p73,19,Male,,44,30,14
p74,19,Male,,52,26,23
p75,21,Male,,47,28,18
p76,25,Male,,59,31,21
p77,20,Male,,53,20,18
p78,20,Male,,37,23,15
p79,20,Male,,44,32,18
p80,20,Male,,49,25,23
p81,21,Male,,37,17,9
p82,31,Male,,50,27,20
p83,19,Male,,46,20,17
p84,24,Male,,35,28,17
p85,19,Male,,52,24,19
p86,24,Male,,52,15,15
p87,19,Male,,55,31,22
p88,19,Male,,58,30,25
p89,20,Male,,28,30,15
p90,20,Female,,51,28,23
p91,25,Female,,54,31,29
p92,20,Male,,39,25,10
p93,23,Male,,62,32,26
p94,19,Male,,34,15,14
p95,20,Female,,57,27,23
p96,20,Male,,59,28,25
p97,19,Male,,41,14,16
p98,20,Male,,57,29,21
p99,21,Male,,54,18,15
p100,22,Male,,44,26,26
p101,23,Male,,44,32,21
p102,22,Male,,53,27,22
p103,20,Male,,42,22,17
p104,20,Female,,17,8,9
p105,20,Male,,42,21,19
p106,23,Male,,45,28,16
p107,23,Male,,49,23,14
p108,19,Male,,36,22,16
p109,18,Male,,50,27,17
p110,22,Female,,33,25,21
p111,21,Male,,41,19,15
p112,20,Female,,59,27,26
p113,20,Female,,39,21,17
p114,19,Male,,46,24,6
p115,20,Male,,44,16,16
p116,19,Male,,36,13,13
p117,22,Male,,56,22,17
p118,19,Male,,55,25,20
p119,19,Male,,36,29,10
p120,20,Male,,57,26,22
p121,18,Female,,47,21,12
p122,19,Female,,63,34,19
p123,20,Male,,45,26,21
p124,20,Male,,39,27,13
p125,18,Male,,46,23,24
p126,19,Male,,38,18,14
p127,20,Male,,49,28,14
p128,28,Male,,48,23,19
p129,20,Male,,48,27,18
p130,21,Male,,45,20,18
p131,18,Male,,40,27,14
p132,20,Male,,47,17,14
p133,20,Male,,55,20,22
p134,20,Female,,48,28,20
p135,19,Female,,45,24,17
p136,20,Male,,42,21,18
p137,20,Female,,43,23,17
p138,19,Male,,48,25,15
p139,21,Female,,47,26,17
p140,26,Male,,60,24,26
p141,22,Female,,49,24,18
p142,21,Female,,46,17,22
p143,19,Male,,53,31,25
p144,20,Male,,56,25,21
p145,19,Male,,41,17,12
p146,20,Female,,42,21,18
p147,20,Male,,39,21,17
p148,19,Male,,43,26,14
p149,22,Female,,58,30,21
p150,20,Male,,49,26,13
p151,23,Male,,49,27,20
p152,19,Male,,35,25,13
p153,20,Male,,48,18,16
p154,21,Male,,29,19,15
p155,23,Female,,24,29,15
p156,24,Male,,34,24,10
p157,22,Female,,48,25,16
p158,21,Male,,51,28,17
p159,21,Male,,41,29,16
p160,20,Male,,48,20,8
p161,19,Male,,56,27,23
p162,39,Male,,34,31,7
p163,20,Male,,54,32,28
p164,21,Female,,54,34,27
p165,23,Male,,50,26,16
p166,25,Female,,63,25,24
p167,20,Male,,41,19,13
p168,22,Male,,44,25,14
p169,20,Male,,45,30,23
p170,18,Male,,44,35,17
p171,20,Male,,54,32,15
p172,20,Male,,37,24,13
p173,21,Female,,57,27,26
p174,21,Male,,40,31,24
p175,20,Male,,41,21,19
p176,19,Male,,51,22,21
p177,20,Male,,46,22,16
p178,20,Male,,55,31,23
p179,20,Male,,49,30,11
p180,21,Male,,46,27,24
p181,21,Male,,45,32,20
p182,21,Male,,49,22,19
